,inflation_yoy,industrial_growth_yoy,fed_funds_change_yoy,unemployment_change_yoy,ten_year_yield_change_yoy,recession_target
1963-01-01,1.331557922769644,5.125442948263648,0.77,-0.09999999999999964,-0.24954545454545407,0.0
1963-02-01,1.2288276320159497,4.614207615434895,0.6299999999999999,0.40000000000000036,-0.11833333333333318,0.0
1963-03-01,1.1269472986410234,4.695792097847495,0.1299999999999999,0.10000000000000053,-0.00188311688311682,0.0
1963-04-01,0.893743793445867,5.430887878188662,0.1200000000000001,0.10000000000000053,0.12795238095238082,0.0
1963-05-01,0.8928571428571619,6.82318473354977,0.6400000000000001,0.40000000000000036,0.056363636363636616,0.0
1963-06-01,1.3240648791790655,7.371787241808914,0.31000000000000005,0.09999999999999964,0.08395238095238078,0.0
1963-07-01,1.5552614162806178,5.926158803764747,0.31000000000000005,0.1999999999999993,0.006168831168831268,0.0
1963-08-01,1.5521796565389767,6.025501110962805,0.56,-0.2999999999999998,0.02662055335968372,0.0
1963-09-01,0.9861932938855844,6.407645796762229,0.5800000000000001,-0.09999999999999964,0.09855263157894756,0.0
1963-10-01,1.2179065174456882,7.0306563426714375,0.6000000000000001,0.09999999999999964,0.1806324110671933,0.0
1963-11-01,1.3166556945358954,7.105659381596907,0.54,0.0,0.2059752321981425,0.0
1963-12-01,1.6458196181698526,6.8968862535701,0.44999999999999973,0.0,0.2640714285714285,0.0
1964-01-01,1.6425755584756896,7.054060197009804,0.56,-0.10000000000000053,0.333181818181818,0.0
1964-02-01,1.4107611548556331,6.5638521543055495,0.48,-0.5,0.2244444444444449,0.0
1964-03-01,1.4093739757456536,5.912348244807086,0.4500000000000002,-0.2999999999999998,0.2909523809523811,0.0
1964-04-01,1.5419947506561726,6.666991769886943,0.5700000000000003,-0.40000000000000036,0.2613203463203466,0.0
1964-05-01,1.5404785316289749,5.987828652330873,0.5,-0.8000000000000007,0.27,0.0
1964-06-01,1.3067624959163693,5.969950706151028,0.5099999999999998,-0.39999999999999947,0.17700000000000093,0.0
